<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.03	01:00:00	1825.08	1830.13	1825.08	1826.47	768	0	0
2023.01.03	01:15:00	1826.51	1829.21	1823.68	1828.23	686	0	0
2023.01.03	01:30:00	1828.20	1828.40	1826.94	1827.88	613	0	0
2023.01.03	01:45:00	1827.81	1829.42	1827.77	1829.40	508	0	0
2023.01.03	02:00:00	1829.35	1832.04	1828.71	1831.58	822	0	0
2023.01.03	02:15:00	1831.62	1832.21	1830.18	1831.32	853	0	0
2023.01.03	02:30:00	1831.32	1832.02	1831.23	1831.35	560	0	0
2023.01.03	02:45:00	1831.25	1831.55	1830.19	1830.65	666	0	0
2023.01.03	03:00:00	1830.38	1832.34	1827.57	1829.55	1507	0	0
2023.01.03	03:15:00	1829.67	1830.84	1826.77	1828.09	1462	0	0
2023.01.03	03:30:00	1828.11	1830.57	1826.83	1827.72	1469	0	0
2023.01.03	03:45:00	1827.80	1829.88	1826.94	1828.47	1311	0	0
2023.01.03	04:00:00	1828.47	1831.01	1828.47	1829.67	1205	0	0
2023.01.03	04:15:00	1829.58	1830.74	1828.26	1830.49	984	0	0
2023.01.03	04:30:00	1830.43	1838.43	1830.42	1838.20	1333	0	0
2023.01.03	04:45:00	1838.47	1839.91	1837.25	1838.36	1370	0	0
2023.01.03	05:00:00	1838.39	1841.28	1838.39	1840.91	1169	0	0
2023.01.03	05:15:00	1840.96	1843.10	1839.96	1841.60	1198	0	0
2023.01.03	05:30:00	1841.69	1841.82	1840.48	1841.06	972	0	0
2023.01.03	05:45:00	1841.04	1842.20	1840.45	1841.18	819	0	0
2023.01.03	06:00:00	1841.25	1842.06	1840.82	1841.91	876	0	0
2023.01.03	06:15:00	1841.99	1841.99	1840.51	1841.16	689	0	0
2023.01.03	06:30:00	1841.08	1842.09	1840.99	1841.79	612	0	0
2023.01.03	06:45:00	1841.83	1842.07	1840.29	1840.35	682	0	0
2023.01.03	07:00:00	1840.34	1841.15	1839.89	1840.00	776	0	0
2023.01.03	07:15:00	1839.99	1840.65	1837.97	1838.11	876	0	0
2023.01.03	07:30:00	1838.13	1840.26	1838.10	1840.10	964	0	0
2023.01.03	07:45:00	1840.16	1840.96	1839.61	1840.36	1032	0	0
2023.01.03	08:00:00	1840.37	1842.44	1840.36	1842.37	1059	0	0
2023.01.03	08:15:00	1842.43	1844.16	1841.73	1841.93	1050	0	0
2023.01.03	08:30:00	1841.87	1841.96	1840.02	1840.96	974	0	0
2023.01.03	08:45:00	1840.92	1842.29	1840.32	1841.94	796	0	0
2023.01.03	09:00:00	1842.06	1842.69	1841.00	1842.43	1078	0	0
2023.01.03	09:15:00	1842.49	1847.58	1842.42	1847.26	1212	0	0
2023.01.03	09:30:00	1847.22	1849.97	1846.99	1848.88	1359	0	0
2023.01.03	09:45:00	1848.87	1849.17	1844.74	1847.48	1463	0	0
2023.01.03	10:00:00	1847.52	1848.02	1842.31	1843.82	1661	0	0
2023.01.03	10:15:00	1843.83	1844.35	1838.76	1840.57	1548	0	0
2023.01.03	10:30:00	1840.63	1840.70	1836.40	1836.57	1558	0	0
2023.01.03	10:45:00	1836.55	1837.34	1834.54	1836.11	1432	0	0
2023.01.03	11:00:00	1836.17	1838.22	1834.76	1837.71	1572	0	0
2023.01.03	11:15:00	1837.74	1841.49	1837.59	1841.37	1293	0	0
2023.01.03	11:30:00	1841.36	1841.99	1837.61	1840.78	1314	0	0
2023.01.03	11:45:00	1840.76	1841.33	1838.08	1838.82	1197	0	0
2023.01.03	12:00:00	1838.78	1839.36	1838.20	1839.06	1171	0	0
2023.01.03	12:15:00	1839.06	1839.23	1837.58	1838.00	1085	0	0
2023.01.03	12:30:00	1837.99	1838.30	1834.45	1836.27	1186	0	0
2023.01.03	12:45:00	1836.33	1836.52	1833.71	1834.45	985	0	0
2023.01.03	13:00:00	1834.45	1834.83	1832.55	1832.65	1031	0	0
2023.01.03	13:15:00	1832.71	1834.41	1831.70	1833.14	1170	0	0
2023.01.03	13:30:00	1833.17	1833.55	1830.86	1831.18	1090	0	0
2023.01.03	13:45:00	1831.16	1833.28	1830.88	1833.20	1170	0	0
2023.01.03	14:00:00	1833.06	1833.99	1831.69	1833.44	1263	0	0
2023.01.03	14:15:00	1833.60	1835.57	1833.30	1835.37	1104	0	0
2023.01.03	14:30:00	1835.39	1836.40	1833.87	1835.52	1129	0	0
2023.01.03	14:45:00	1835.56	1835.77	1833.67	1834.53	1148	0	0
2023.01.03	15:00:00	1834.66	1838.06	1834.08	1837.13	1573	0	0
2023.01.03	15:15:00	1837.10	1840.39	1837.02	1838.89	1590	0	0
2023.01.03	15:30:00	1839.03	1840.39	1837.00	1839.86	1536	0	0
2023.01.03	15:45:00	1839.84	1841.12	1838.44	1838.89	1497	0	0
2023.01.03	16:00:00	1838.91	1839.08	1836.69	1838.85	1371	0	0
2023.01.03	16:15:00	1838.84	1841.34	1838.77	1841.20	1359	0	0
2023.01.03	16:30:00	1841.21	1848.94	1839.48	1847.65	1910	0	0
2023.01.03	16:45:00	1848.19	1849.85	1844.90	1844.90	1876	0	0
2023.01.03	17:00:00	1844.93	1845.41	1837.82	1839.01	1779	0	0
2023.01.03	17:15:00	1838.99	1840.05	1832.65	1833.67	1767	0	0
2023.01.03	17:30:00	1833.62	1833.62	1827.64	1828.77	1806	0	0
2023.01.03	17:45:00	1828.81	1834.02	1828.18	1833.21	1698	0	0
2023.01.03	18:00:00	1833.23	1834.17	1828.86	1829.63	1661	0	0
2023.01.03	18:15:00	1829.62	1830.70	1828.37	1830.04	1595	0	0
2023.01.03	18:30:00	1830.03	1831.61	1828.73	1831.24	1507	0	0
2023.01.03	18:45:00	1831.20	1834.29	1828.58	1834.29	1500	0	0
2023.01.03	19:00:00	1834.27	1836.20	1834.00	1835.96	1279	0	0
2023.01.03	19:15:00	1835.97	1837.76	1835.28	1837.54	1277	0	0
2023.01.03	19:30:00	1837.34	1838.86	1836.83	1838.64	1233	0	0
2023.01.03	19:45:00	1838.66	1839.21	1836.79	1839.17	1226	0	0
2023.01.03	20:00:00	1839.31	1839.45	1837.33	1838.76	939	0	0
